"","Isolate","ugMBCmean","tend"
"1","24YEA27",26.44992,49
"2","Aalpinus",51.6096,28.5
"3","AN5",192.24576,197
"4","AN6A",234.82368,164
"5","BS19",93.43488,23.83
"6","BS40",64.72704,27.5
"7","BS60",59.78112,36.25
"8","BS71",42.36288,78.5
"9","Bsubtilis",24.7296,27.75
"10","Cpinensis",79.13472,44
"11","EB95",407.28576,344
"12","Ecoli",30.32064,30.25
"13","GAS106B",59.35104,55.5
"14","GAS188",25.15968,408
"15","GAS232",625.7664,313
"16","GAS332",589.2096,313
"17","GAS368",36.77184,120
"18","GAS474",111.2832,266
"19","GAS479",286.86336,97
"20","GAS479_Beta",745.1136,236.16667
"21","GAS525",20.85888,415.5
"22","GAS86",10.10688,58.5
"23","GP183",51.803136,48
"24","GP187",66.87744,266
"25","MT12",68.16768,198
"26","MT45",806.4,288
"27","Njensenii",38.24128,61
