Name,Formula,CHEBI,Molecular_Weight,Ontology,y_DE,N_C,diffusivity
D-Glucose,C6H12O6,17234,180.15588,Sugars,0.2371124877820365,6.0,7.186648683627478e-10
Fumarate,C4H3O4,37154,115.06422,Organic acids,0.3579012164265953,4.0,8.992500835658874e-10
Acetate,C2H3O2,30089,59.04402,Organic acids,0.7191707747433501,2.0,1.255343783891498e-9
Acetaldehyde,C2H4O,15343,44.05256,Organic acids,0.5566378156540076,2.0,1.4533327494324358e-9
2-Oxoglutarate,C5H5O5,30916,145.0902,Organic acids,0.2879345570121263,5.0,8.008138877157724e-10
Ethanol,C2H6O,16236,46.06844,Organic acids,0.3925717571969237,2.0,1.4211793310235483e-9
Formate,CHO2,15740,45.01744,Organic acids,0.6800340612198087,1.0,1.4376734036476875e-9
L-Glutamine,C5H10N2O3,18050,146.14458,Amino acids,0.3511352992457362,5.0,7.979198679477365e-10
D-Lactate,C3H5O3,24996,89.07,Organic acids,0.47810752758160374,3.0,1.0220800458252276e-9
L-Malate,C4H6O5,6650,134.08744,Organic acids,0.3599181962651578,4.0,8.330222203628443e-10
Pyruvate,C3H3O3,15361,87.05412,Organic acids,0.47989092835354386,3.0,1.0338462835116008e-9
Succinate,C4H5O4,30779,117.0801,Organic acids,0.36034014140472,4.0,8.914748456754035e-10
D-Arabinose,C5H10O5,22599,150.1299,Sugars,0.28453498533844385,5.0,7.872579193775156e-10
L-Arginine,C6H14N4O2,29016,174.20112,Amino acids,0.36843208379784453,6.0,7.308448050736821e-10
L-Histidine,C6H9N3O2,27570,155.15468,Amino acids,0.3033618360251691,6.0,7.744050845591358e-10
L-isoleucine ,C6H13NO2,17191,131.175,Amino acids,0.1974220950358073,6.0,8.422191254249459e-10
L-Lysine,C6H14N2O2,25094,146.18764,Amino acids,0.23328170596395648,6.0,7.978023444690735e-10
L-Valine ,C5H11NO2,27266,117.14638,Amino acids,0.2553497908328934,5.0,8.912226171694664e-10
L-Tyrosine ,C9H11NO3,17895,181.18858,Amino acids,0.1673193939944718,9.0,7.166138954406794e-10
Linoleic acid,C18H32O2,17351,280.4455,Fatty acids,0.05139363327845278,18.0,5.76005191716174e-10
Indole-3-acetic acid,C10H9NO2 ,16411,175.184,Auxins,0.15316680371266447,10.0,7.287916976542285e-10
D-Xylose,C5H10O5,18222,150.13,Sugars,0.28453498533844385,5.0,7.872576571853986e-10
D-Mannose,C6H12O6,16024,180.15588,Sugars,0.2371124877820365,6.0,7.186648683627478e-10
L-Fucose,C6H12O5,18287,164.15648,Sugars,0.2268575135626521,6.0,7.528728228024591e-10
Galactose,C6H12O6,28260,180.156,Sugars,0.2371124877820365,6.0,7.186646290151863e-10
