BGE,rate,ontology,response,species,class,monomer
0.06253679356202557,0.031085262330366743,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,2-aminoisobutyric acid 
0.25384213140219125,0.24969792405546998,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,"2,3-Dihydroxybenzoic acid"
0.20223825981615834,0.12875199745729,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,3-Dehydroshikimic acid
0.11532235519996603,0.052781731137154064,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,5-aminovaleric acid
0.10746996908579196,0.04958245966478522,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,abscisic acid
0.12628732883932756,0.06621343439788704,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,adenine
0.16865054477892294,0.0891407625168722,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,adenosine
0.14072659091046166,0.04363494227755924,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,alanine
0.20891681819633232,0.10326313166787612,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,alpha-ketoglutaric acid 
0.17530014582412493,0.07390639239423144,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,arginine
0.13319431340054136,0.053464052765266806,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,asparagine 
0.11633453810496384,0.045715862442173495,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,betonicine
0.14676780987350213,0.05506650204690122,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,biotin 
0.1884739521066552,0.1007358544792673,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,caffeic acid
0.1820972753194236,0.09438770318379308,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,choline
0.21519918431605328,0.12688911101235545,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,cis-aconitic acid
0.22419314469611692,0.1627331628995362,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,cytidine
0.15964488321916998,0.07880174796857328,Sugars,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,rhamnose
0.16865695653985213,0.06187501883511413,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,deoxyguanosine
