k_E,response
0.9907577927636582,positive
2.2477286136540786,negative
1.69596609104671,undefined
1.088478186013862,positive
1.1326637389803507,positive
1.1875567207318467,positive
1.8018828768112505,positive
1.6624263683109595,positive
1.773422708309495,undefined
1.496936862172548,undefined
1.071066953253495,positive
1.088478186013862,positive
1.5523212035205483,undefined
1.7132422293119067,negative
1.4902886097811696,negative
1.8650105792362643,negative
1.8615802572154188,undefined
1.1960382094412707,undefined
1.430956861094157,undefined
1.281439026953949,positive
1.2327180846114631,positive
1.2163061986697106,positive
2.0210997116637746,undefined
1.3761459723751228,negative
1.339486861729633,positive
1.4412048173616492,positive
1.066517473477028,undefined
1.262130742915783,undefined
2.190244495183127,negative
2.431609474667157,positive
0.985893884622813,positive
0.9450631932276768,undefined
1.08612411058435,negative
1.274937838029642,negative
1.0642571720425118,positive
1.012740988330837,positive
2.5534151777259506,undefined
1.3991161579189044,positive
0.8758086875903657,positive
