Name,Formula,CHEBI,Molecular_Weight,Ontology,Yield_assimilation,Diffusion_constant
D-Glucose,C6H12O6,17234,180.15588,Sugars,3.217407566,7.19E-10
Fumarate,C4H3O4,37154,115.06422,Organic acids,1.794067061,8.99E-10
Acetate,C2H3O2,30089,59.04402,Organic acids,0.390490319,1.26E-09
Acetaldehyde,C2H4O,15343,44.05256,Organic acids,0.796500295,1.45E-09
2-Oxoglutarate,C5H5O5,30916,145.0902,Organic acids,2.473011404,8.01E-10
Ethanol,C2H6O,16236,46.06844,Organic acids,1.547305,1.42E-09
Formate,CHO2,15740,45.01744,Organic acids,0.470514577,1.44E-09
L-Glutamine,C5H10N2O3,18050,146.14458,Amino acids,1.847905073,7.98E-10
D-Lactate,C3H5O3,24996,89.07,Organic acids,1.091579702,1.02E-09
L-Malate,C4H6O5,6650,134.08744,Organic acids,1.778409123,8.33E-10
Pyruvate,C3H3O3,15361,87.05412,Organic acids,1.083806842,1.03E-09
Succinate,C4H5O4,30779,117.0801,Organic acids,1.775155707,8.91E-10
D-Arabinose,C5H10O5,22599,150.1299,Sugars,2.514506305,7.87E-10
L-Arginine,C6H14N4O2,29016,174.20112,Amino acids,1.714204446,7.31E-10
L-Histidine,C6H9N3O2,27570,155.15468,Amino acids,2.296393551,7.74E-10
L-isoleucine ,C6H13NO2,17191,131.175,Amino acids,4.06528917,8.42E-10
L-Lysine,C6H14N2O2,25094,146.18764,Amino acids,3.286662753,7.98E-10
L-Valine ,C5H11NO2,27266,117.14638,Amino acids,2.916196668,8.91E-10
L-Tyrosine ,C9H11NO3,17895,181.18858,Amino acids,4.976593485,7.17E-10
Linoleic acid,C18H32O2,17351,280.4455,Fatty acids,18.45766306,5.76E-10
Indole-3-acetic acid,C10H9NO2 ,16411,175.184,Auxins,5.528829849,7.29E-10
D-Xylose,C5H10O5,18222,150.13,Sugars,2.514506305,7.87E-10
D-Mannose,C6H12O6,16024,180.15588,Sugars,3.217407566,7.19E-10
L-Fucose,C6H12O5,18287,164.15648,Sugars,3.40805325,7.53E-10
Galactose,C6H12O6,28260,180.156,Sugars,3.217407566,7.19E-10
