Vc,response
2.5373409150352896e-17,positive
9.035808880156781e-18,negative
7.54618220216719e-18,undefined
3.114275299679337e-17,positive
3.611416793480116e-17,positive
2.7517566978850416e-17,positive
3.7367078633653e-17,positive
1.13620640680465e-17,positive
2.8191271254979403e-18,undefined
3.7384411726024834e-18,undefined
5.827881975291256e-18,positive
1.6056902629174777e-17,positive
8.167054100175671e-18,undefined
7.966994947998696e-18,negative
4.788234489267312e-18,negative
6.977176635928415e-18,negative
4.1547709615013645e-18,undefined
7.907539563706153e-19,undefined
5.417784754863607e-18,undefined
1.931028123587674e-17,positive
1.6085264954990763e-17,positive
3.408544956205021e-17,positive
2.3015892424590775e-18,undefined
4.061529658325765e-17,negative
4.3669975390179214e-17,positive
2.4976764074585267e-17,positive
4.686110672359683e-18,undefined
4.125076727300261e-18,undefined
4.057431135184389e-17,negative
1.791099383524526e-17,positive
6.658107520087811e-17,positive
2.4794254717885384e-17,undefined
2.467385839152601e-17,negative
2.3504506863588386e-17,negative
5.05540755566453e-19,positive
3.9445816866757744e-19,positive
2.5868200445257804e-19,undefined
6.047377216738703e-17,positive
2.453711301498767e-17,positive
