cell_volume_pred,cell_volume_meas,rrn_copies,gmax,gmax_roller
6.908018911944416e-18,5.551660769e-18,4,2.23,0.2501917826018692
6.4625351280306496e-18,5.020355068e-18,4,3.12,0.2501917826018692
5.3097933249660095e-18,2.12057325e-18,2,1.5,0.12252145508486323
1.0306837109929624e-17,3.670947915e-18,4,5.06,0.2501917826018692
1.1204897895153248e-17,3.92070432e-18,4,2.18,0.2501917826018692
3.717198433839546e-18,6.725830031e-18,1,2.24,0.06000000000000001
8.367292420196843e-17,7.288488800000001e-18,8,5.35,0.5108976875776128
1.9836871514128478e-16,3.830226528e-18,1,6.83,0.06000000000000001
1.7452837724069505e-16,1.0335831100000001e-17,1,6.73,0.06000000000000001
4.6467926797130724e-17,6.39313565e-18,1,5.41,0.06000000000000001
5.538589593788776e-18,3.925730864e-18,1,5.83,0.06000000000000001
1.1564766017798452e-16,1.5393791000000002e-17,1,1.48,0.06000000000000001
2.1058522359409057e-16,4.239418626e-18,7,1.95,0.44524826066958173
2.6339075119873228e-18,5.0893758e-18,1,6.08,0.06000000000000001
5.4485989363952706e-17,4.225485674e-18,1,6.0,0.06000000000000001
1.831185142741333e-17,3.782474360000001e-18,1,6.89,0.06000000000000001
1.6519896593672324e-18,4.620493493e-18,1,1.69,0.06000000000000001
3.7198760364505876e-16,1.145109555e-17,1,5.25,0.06000000000000001
5.692202476863192e-18,3.53428875e-18,2,4.36,0.12252145508486323
2.1033088261655017e-17,2.000124689e-17,1,2.55,0.06000000000000001
5.677469410331761e-17,1.91008672e-17,1,6.54,0.06000000000000001
7.016011030687664e-17,4.942349388000001e-18,1,3.14,0.06000000000000001
7.301460307852457e-17,3.527063093000001e-18,1,4.36,0.06000000000000001
5.819537110596805e-17,6.738710550000001e-18,1,6.38,0.06000000000000001
7.219902781846206e-17,5.5134904500000006e-18,5,3.83,0.3148403270417861
8.118453000172386e-17,5.9376051e-18,6,0.38,0.37988053264996857
1.3289684187047243e-17,5.0893758e-18,7,0.445,0.44524826066958173
2.381524900138086e-16,1.881070524e-17,8,4.15,0.5108976875776128
1.0317606320358539e-16,1.27234395e-18,1,1.53,0.06000000000000001
6.549229215105477e-17,5.843357400000001e-18,1,,0.06000000000000001
2.877489623249776e-18,3.1949970300000003e-18,2,0.123,0.12252145508486323
