BGE,rate,JV,JE,ontology,response,species,phylum,monomer,class
0.4722075809576346,0.07599267216674276,1.0114021326138555e-5,4.261734820399857e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,2-aminoisobutyric acid ,Acidobacteria
NaN,0.0069901013808979255,2.2330728483829335e-6,5.917322542251309e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,"2,3-Dihydroxybenzoic acid",Acidobacteria
NaN,0.006990101107632329,2.233072847839481e-6,5.9173223071809175e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,3-Dehydroshikimic acid,Acidobacteria
0.491367256434097,0.07599461380574347,1.1051606598121659e-5,4.966623368151817e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,5-aminovaleric acid,Acidobacteria
NaN,0.006990168119012363,2.2330736429155767e-6,5.91737847626888e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,abscisic acid,Acidobacteria
1.0855511595786387,0.005846555418538379,2.3161869581812145e-6,4.9869939577479806e-8,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,adenine,Acidobacteria
1.082526441457012,0.005847069213475369,2.316185639350622e-6,4.9874265007211e-8,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,adenosine,Acidobacteria
0.421163576828259,0.0759810157704502,8.314328542668579e-6,3.1695351656775195e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,alpha-alanine ,Acidobacteria
NaN,0.006990042627979623,2.2330721523097066e-6,5.9172732745316205e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,alpha-ketoglutaric acid ,Acidobacteria
0.469767439161093,0.07599180613415432,1.0111586132401212e-5,4.260113770541287e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,arginine,Acidobacteria
0.451940627541425,0.07599010819877608,9.222376855521897e-6,3.7188529655746564e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,asparagine ,Acidobacteria
0.502853111524663,0.07599538361124689,1.1981238646642305e-5,5.667844976191338e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,betonicine,Acidobacteria
