BGE,rate,JV,JE,ontology,response,species,class,monomer
0.42116357748913724,0.07598101979539706,8.314327950149229e-6,3.1695349809341894e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,alanine
0.47733241427795736,0.024177365367220365,7.256458246510339e-6,1.6534464220601387e-6,Sugars,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,glucose
NaN,0.006990101661607233,2.233072864343841e-6,5.917322783908952e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,salicylic acid
0.4196520004364267,0.16306799429365543,1.836764871589995e-5,1.4263481030697114e-5,Amino acids,negative,Bacillus sp. URHB0009,Bacilli,alanine
0.47229021561706686,0.09851722348289763,1.0267571772752783e-5,2.410012839889431e-6,Sugars,negative,Bacillus sp. URHB0009,Bacilli,glucose
0.4652456220562213,0.02458869960994521,7.274595219344701e-6,1.2121312339354618e-6,Organic acids,negative,Bacillus sp. URHB0009,Bacilli,salicylic acid
0.4700766435134082,0.14672512833639825,1.0002832348886218e-5,3.005550489627356e-6,Amino acids,undefined,Blastococcus sp. URHD0036,Actinobacteria,alanine
0.544723200639949,0.05608113957143142,1.0371220809094346e-5,1.7595711387268193e-6,Sugars,undefined,Blastococcus sp. URHD0036,Actinobacteria,glucose
0.4761078067221754,0.00533695100948632,2.678976614366955e-6,4.755934498335148e-8,Organic acids,undefined,Blastococcus sp. URHD0036,Actinobacteria,salicylic acid
0.4915324321580054,0.11568169067662154,1.0294886966799944e-5,3.5897260183060553e-6,Amino acids,positive,Bradyrhizobium sp. URHA0002,Alphaproteobacteria,alanine
0.5766814808177407,0.022328821898267685,8.385815909974075e-6,1.463116012978436e-6,Sugars,positive,Bradyrhizobium sp. URHA0002,Alphaproteobacteria,glucose
0.5878857762125589,0.03964660899452165,1.0342728264093945e-5,1.7761470106524865e-6,Organic acids,positive,Bradyrhizobium sp. URHA0002,Alphaproteobacteria,salicylic acid
0.4751810154407464,0.10467667028575012,1.9975373219262947e-5,1.2567771070551494e-5,Amino acids,positive,Bradyrhizobium sp. URHA0013,Alphaproteobacteria,alanine
0.5558785992966233,0.030738105731403672,9.389862056929382e-6,1.7275141064895813e-6,Sugars,positive,Bradyrhizobium sp. URHA0013,Alphaproteobacteria,glucose
0.5629156844769024,0.030283441085170976,9.320085860601995e-6,1.7273139660504125e-6,Organic acids,positive,Bradyrhizobium sp. URHA0013,Alphaproteobacteria,salicylic acid
0.49173795781543095,0.1331183435605555,1.079800297728511e-5,4.1037836800567585e-6,Amino acids,positive,Bradyrhizobium sp. URHD0069,Alphaproteobacteria,alanine
0.5771034357655258,0.02662880859542115,8.825913535540945e-6,1.5509021354747464e-6,Sugars,positive,Bradyrhizobium sp. URHD0069,Alphaproteobacteria,glucose
0.5863164970288024,0.035523591650160946,1.0231331622685193e-5,1.726360573204525e-6,Organic acids,positive,Bradyrhizobium sp. URHD0069,Alphaproteobacteria,salicylic acid
0.4235905259866648,0.09009570245394355,7.2132407074176256e-6,1.7640701069695782e-6,Amino acids,positive,Burkholderia sp. URHA0054,Betaproteobacteria,alanine
0.4903828029638088,0.0933369173295345,1.0856336033024654e-5,2.988285956186338e-6,Sugars,positive,Burkholderia sp. URHA0054,Betaproteobacteria,glucose
0.4784654161082722,0.015863121729531686,3.68067325744666e-6,6.445302963328697e-7,Organic acids,positive,Burkholderia sp. URHA0054,Betaproteobacteria,salicylic acid
0.4581576161086963,0.06560019294800483,7.586684452170851e-6,1.6428784438218924e-6,Amino acids,positive,Caulobacter sp. URHA0033,Alphaproteobacteria,alanine
0.5482792808313341,0.06979683219302331,1.0487068428268544e-5,1.8255007599777507e-6,Sugars,positive,Caulobacter sp. URHA0033,Alphaproteobacteria,glucose
0.5500557533455306,0.03126125132061104,9.089363241707155e-6,1.5334343170098403e-6,Organic acids,positive,Caulobacter sp. URHA0033,Alphaproteobacteria,salicylic acid
0.4686400797753093,0.11311234897125835,8.92885037966341e-6,1.976256823119467e-6,Amino acids,undefined,Cellulomonas sp. URHD0024,Actinobacteria,alanine
0.5576695379838232,0.14695456624272235,1.2663118508733126e-5,4.511294127319683e-6,Sugars,undefined,Cellulomonas sp. URHD0024,Actinobacteria,glucose
0.41112103547266143,0.007838239147785673,2.668246595957184e-6,2.5130047298885362e-8,Organic acids,undefined,Cellulomonas sp. URHD0024,Actinobacteria,salicylic acid
0.48941017206962395,0.10770712821512515,9.561485870573567e-6,2.1186234624487023e-6,Amino acids,undefined,Cellulomonas sp. URHE0023,Actinobacteria,alanine
0.5898498197902782,0.14349066781018902,1.3523855022352618e-5,5.370083692594106e-6,Sugars,undefined,Cellulomonas sp. URHE0023,Actinobacteria,glucose
0.4079305352756688,0.007974199998880936,2.7675364150281984e-6,2.8061320826011884e-8,Organic acids,undefined,Cellulomonas sp. URHE0023,Actinobacteria,salicylic acid
0.49678698429394524,0.10596758315708182,1.073649431942463e-5,3.3459404814421e-6,Amino acids,positive,Comamonadaceae bacterium URHA0028,Betaproteobacteria,alanine
0.5781601088730406,0.019802143462772575,6.746806967361208e-6,1.1810687105086084e-6,Sugars,positive,Comamonadaceae bacterium URHA0028,Betaproteobacteria,glucose
0.5987583060921602,0.07508456101107182,1.2791668522435011e-5,3.537372260756899e-6,Organic acids,positive,Comamonadaceae bacterium URHA0028,Betaproteobacteria,salicylic acid
0.4944756538211278,0.10101940049761943,1.0152939997858968e-5,2.975454471216183e-6,Amino acids,positive,Dongia sp. URHE0060,Alphaproteobacteria,alanine
0.5967101991119956,0.09383378748133024,1.3272018490335196e-5,4.712999596516028e-6,Sugars,positive,Dongia sp. URHE0060,Alphaproteobacteria,glucose
0.5469657389797165,0.006613285781554635,2.831054822795944e-6,1.3673471635068952e-7,Organic acids,positive,Dongia sp. URHE0060,Alphaproteobacteria,salicylic acid
0.4349583076804776,0.06877428299552811,7.14080580277387e-6,1.7163393367204978e-6,Amino acids,undefined,Flavobacterium sp. URHB0058,Flavobacteria,alanine
0.5072562456607281,0.06878336348679696,9.664948022774826e-6,2.011161894098313e-6,Sugars,undefined,Flavobacterium sp. URHB0058,Flavobacteria,glucose
0.5072536007680057,0.03897469775138237,9.233305155404907e-6,1.7018154215284104e-6,Organic acids,undefined,Flavobacterium sp. URHB0058,Flavobacteria,salicylic acid
0.45143380350041346,0.11021299221151948,8.761566014744277e-6,2.087865901011932e-6,Amino acids,negative,Geodermatophilaceae bacterium URHA0031,Actinobacteria,alanine
0.5251997160025184,0.07996778125890848,1.035345047651929e-5,2.0829342375717947e-6,Sugars,negative,Geodermatophilaceae bacterium URHA0031,Actinobacteria,glucose
0.5143984505530961,0.014148773592064668,3.3295976880392248e-6,4.659642203910215e-7,Organic acids,negative,Geodermatophilaceae bacterium URHA0031,Actinobacteria,salicylic acid
0.48001217223011516,0.1260359095829345,9.730810825992375e-6,2.634469796397644e-6,Amino acids,negative,Geodermatophilaceae bacterium URHB0048,Actinobacteria,alanine
0.5639065158195158,0.0749939628930511,1.0832916101921773e-5,2.06396292160589e-6,Sugars,negative,Geodermatophilaceae bacterium URHB0048,Actinobacteria,glucose
