BGE,rate,JV,JE,ontology,response,species,class,monomer
0.6025464303817197,0.028429437236804654,5.646264780152558e-6,1.5291238562298225e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,2-aminoisobutyric acid 
NaN,0.0025113261528345874,2.049503582157219e-6,2.0153429799070256e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,"2,3-Dihydroxybenzoic acid"
NaN,0.0025113260961888793,2.0495035821326345e-6,2.0153429349476787e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,3-Dehydroshikimic acid
0.6698888063880759,0.020537546441499063,4.918392504047563e-6,1.2761202911241411e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,5-aminovaleric acid
NaN,0.002351716937906171,2.049356169834647e-6,1.888728150256815e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,abscisic acid
NaN,0.005386918757930516,2.114721870289191e-6,4.28932822973076e-8,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,adenine
NaN,0.002712828822824113,2.0496912981470793e-6,2.1754266895173098e-8,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,adenosine
0.47234080370886855,0.046274341690846515,5.688421423329984e-6,1.7289761956499957e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,alanine
NaN,0.0026174238921279104,2.0496019173123314e-6,2.0995995160126983e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,alpha-ketoglutaric acid 
0.5949721310043685,0.029388270572968014,5.769212553063866e-6,1.582163180243351e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,arginine
0.5442873468469871,0.03599976650582308,5.937560436577082e-6,1.72276606628294e-6,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,asparagine 
0.7144817271700303,0.015450140143210462,3.217485111619389e-6,7.63502528592665e-7,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,betonicine
NaN,0.0023972869480834214,2.049398184784045e-6,1.924861126226773e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,biotin 
NaN,0.0024521259250786156,2.049448843664485e-6,1.968361383378028e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,caffeic acid
0.7115381448826356,0.01586408383076978,3.5379383959236294e-6,8.870551577906464e-7,Amino acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,choline
NaN,0.0025560621271511846,2.049545027365216e-6,2.050860744128987e-8,Organic acids,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,cis-aconitic acid
NaN,0.0027207591069990625,2.0496987061941207e-6,2.1817322877953312e-8,Nucleotides,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,cytidine
0.6203836606683504,0.005930719595350601,2.228500803806169e-6,1.3301890727225234e-7,Sugars,positive,Acidobacteriaceae bacterium URHE0068,Acidobacteria,rhamnose
