Vmax,K,ontology,response
0.14510471889239482,0.0009108997895880323,Amino acids,positive
0.0010720539204698543,0.0001237342090522187,Organic acids,positive
0.0010720539204698543,0.00012911395727188034,Organic acids,positive
0.08997926834622869,0.0005290381209398283,Amino acids,positive
0.0003572499778738981,0.00014844331449627017,Organic acids,positive
0.008386152811693259,0.00015538280382105933,Nucleotides,positive
0.001849962050077756,0.00015421962513425952,Nucleotides,positive
0.3778460700360875,0.0027466231094569107,Amino acids,positive
0.0016871091152194145,0.00012590121525729936,Organic acids,positive
0.15307231473674687,0.0008210724558305301,Amino acids,positive
0.21845803093894145,0.0014510384933913438,Amino acids,positive
0.06205398777691233,0.0003547341850642481,Amino acids,positive
0.0005406059378325476,0.00014483310632118913,Organic acids,positive
0.0007820031019785368,0.00012970250519553974,Organic acids,positive
0.06414819042865116,0.0003901049122132924,Amino acids,positive
0.0013148811701918632,0.00013156407323540903,Organic acids,positive
0.0018889817958076289,0.00014938895611245082,Nucleotides,positive
0.023220199520175323,0.00022577823906068126,Sugars,positive
0.001849962050077756,0.00015421962513425952,Nucleotides,positive
0.010643933295299886,0.00019457049017600726,Sugars,positive
0.010643933295299886,0.00019457049017600726,Sugars,positive
0.0023420007992571686,0.0001210100139673463,Organic acids,positive
0.14510471889239482,0.0009108997895880323,Amino acids,positive
2.6091858776509684,0.025802626703118486,Amino acids,positive
0.08997926834622869,0.0005290381209398283,Amino acids,positive
0.00832573684313009,0.0001619986095082928,Nucleotides,positive
0.001861605035142032,0.00015769893771067845,Nucleotides,positive
0.024596099411370594,0.00024057670032889025,Sugars,positive
0.024596099411370594,0.00024057670032889025,Sugars,positive
0.1142649273299903,0.0006167638746324217,Amino acids,positive
0.1865552912394835,0.0012064148111844818,Amino acids,positive
0.006471878921652548,0.0001463625619667213,Nucleotides,positive
0.0,0.0001258042744675536,Auxins,positive
0.0017437325039979007,0.00015387774601032395,Nucleotides,positive
0.06454577552397052,0.00037532762167916795,Amino acids,positive
0.0004259162311743015,0.0001361694586366419,Organic acids,positive
0.17721754230072492,0.001202052466057789,Amino acids,positive
0.05580621494703692,0.0003328532534461175,Amino acids,positive
0.12442209905320623,0.000692063619364461,Amino acids,positive
0.11878835997103031,0.0007245379609206879,Amino acids,positive
0.12345465782207173,0.0007156917431088902,Amino acids,positive
0.11878835997103031,0.0006887449179410731,Amino acids,positive
0.052726276140166575,0.00028967916452520015,Amino acids,positive
0.0037566712253488737,0.00012390795106301998,Organic acids,positive
0.06454577552397052,0.00037532762167916795,Amino acids,positive
0.00022565346185215703,0.0001513724176610935,Fatty acids,positive
0.079836984211695,0.00045613098246165,Amino acids,positive
0.0023420007992571686,0.00012799843422685872,Organic acids,positive
0.0037790222698574306,0.00013107196287142476,Organic acids,positive
0.04896363405313697,0.0003695673622580588,Amino acids,positive
0.018407440948870785,0.00020673005137594193,Sugars,positive
0.0014303893246137337,0.0001155777729579564,Organic acids,positive
