gdistr,ontology,response,Vmax,K
19.0,Sugars,positive,0.04099349896955588,0.00019650121945526643
1.0,Organic acids,positive,0.002157552577345047,8.698982886837283e-5
63.0,Amino acids,positive,0.135925812372738,0.0002351556608679433
1.0,Fatty acids,positive,0.002157552577345047,5.382498323925861e-5
2.0,Nucleotides,positive,0.004315105154690094,0.00010205269709048946
0.0,Auxins,positive,0.0,5.258149862052041e-5
58.0,Sugars,negative,0.14931137866181926,0.0003165219755917667
14.0,Organic acids,negative,0.036040677608025345,0.00012409898551500966
99.0,Amino acids,negative,0.25485907737103636,0.0002672174035643058
12.0,Fatty acids,negative,0.03089200937830744,7.316210113903205e-5
13.0,Nucleotides,negative,0.03346634349316639,0.00013606463626590124
2.0,Auxins,negative,0.005148668229717906,5.628645758883719e-5
26.0,Sugars,undefined,0.05610175011991424,0.00017523024360833174
2.0,Organic acids,undefined,0.004315519239993403,8.747834996845178e-5
72.0,Amino acids,undefined,0.1553586926397625,0.0001724840053680356
28.0,Fatty acids,undefined,0.06041726935990765,8.936062913079607e-5
5.0,Nucleotides,undefined,0.010788798099983508,0.0001056091535389687
0.0,Auxins,undefined,0.0,5.258109283959356e-5
40.0,Sugars,positive,0.020376477253450098,0.0001535055414344873
72.0,Organic acids,positive,0.036677659056210184,0.00015434356952214714
226.0,Amino acids,positive,0.11512709648199304,0.00021972200474618047
38.0,Fatty acids,positive,0.019357653390777593,7.468309512493824e-5
5.0,Nucleotides,positive,0.0025470596566812623,9.88683328909912e-5
2.0,Auxins,positive,0.001018823862672505,5.383251411940773e-5
66.0,Sugars,positive,0.031925483468967744,0.00018579995555594692
65.0,Organic acids,positive,0.03144176402246824,0.00014749730381787528
242.0,Amino acids,positive,0.11706010605288175,0.00023127764696685043
31.0,Fatty acids,positive,0.01499530284148485,7.042095282761903e-5
6.0,Nucleotides,positive,0.0029023166789970685,9.998781587407552e-5
3.0,Auxins,positive,0.0014511583394985342,5.446097928136149e-5
35.0,Sugars,positive,0.024416238359293685,0.00016096107499967348
47.0,Organic acids,positive,0.032787520082480086,0.0001442506787967484
192.0,Amino acids,positive,0.13394050757098247,0.00023847797828058337
17.0,Fatty acids,positive,0.011859315774514073,6.510313762195824e-5
1.0,Nucleotides,positive,0.0006976068102655337,9.477362499080743e-5
3.0,Auxins,positive,0.002092820430796601,5.5050122274036257e-5
165.0,Sugars,positive,0.13631854687130204,0.00046703423472600986
27.0,Organic acids,positive,0.022306671306213062,0.00013057680360133758
159.0,Amino acids,positive,0.1313615088032547,0.00025981191723890076
15.0,Fatty acids,positive,0.012392595170118365,6.773779681339922e-5
11.0,Nucleotides,positive,0.009087903124753468,0.00011503339982080436
2.0,Auxins,positive,0.001652346022682449,5.480561821240947e-5
16.0,Sugars,positive,0.07850414972578199,0.00024077529950996003
7.0,Organic acids,positive,0.03434556550502962,0.00013092793364471121
15.0,Amino acids,positive,0.07359764036792062,0.00013294551624146536
14.0,Fatty acids,positive,0.06869113101005923,0.00011060640170352537
4.0,Nucleotides,positive,0.019626037431445496,0.00012400345728555903
1.0,Auxins,positive,0.004906509357861374,5.690374494028922e-5
61.0,Sugars,undefined,0.15274477170030515,0.00024239537407488385
1.0,Organic acids,undefined,0.0025040126508246744,8.491157723859061e-5
